Name,Location,Contact Persons,Affiliation,Source
(Noacademy),United States,,,https://smoothcomp.com/en/club/7408
CHECKMATINTERNATIONAL,United States,WILTON PEQUENO,,https://smoothcomp.com/en/club/3752
GRACIEBARRA(USA),United States,IMAN HAJI HASHEMI,,https://smoothcomp.com/en/club/3950
OhanaAcademy(SanAntonio),"15032 San Pedro Ave,",Leandra Poole,,https://smoothcomp.com/en/club/11912
GustavoMachadoBrazilianJiuJitsu,"1944 Laskin Rd # 401,",Greg Walker,,https://smoothcomp.com/en/club/9622
NoTeam,United States,Michael Bissonette,,https://smoothcomp.com/en/club/3492
EastonTrainingCenter-Denver,United States,Jordan Shipman,,https://smoothcomp.com/en/club/37174
None,United States,T.J. Forward,,https://smoothcomp.com/en/club/6717
BJJRevolutionTeam,United States,Trevor McCarver,,https://smoothcomp.com/en/club/3464
RobertoTravenBJJ,United States,,,https://smoothcomp.com/en/club/6665
PedigoSubmissionFighting,"67-68 east IL hwy 15 Woodlawn Illinois 62898,",Jakob Brooks,,https://smoothcomp.com/en/club/10177
PabloSilvaBJJ,United States,Aylene Martinez,,https://smoothcomp.com/en/club/2399
DARFIGHT,"NY,",Arturas Lanchinskas,,https://smoothcomp.com/en/club/34740
Action&ReactionMMA,"225 Sparks Ave,",Kian Zulick,,https://smoothcomp.com/en/club/31558
GracieBarraVancouver,Canada,Rodrigo Carvalho,,https://smoothcomp.com/en/club/6605
TheEyrieBJJ,"918 W Irvington Rd,",Phillip Aguilar,,https://smoothcomp.com/en/club/11683
V.R.M.A/Fightsports,United States,Amira Lewis,,https://smoothcomp.com/en/club/3899
OlympFightClub,"1109 S Central Avenue, Glendale 91206,",Artur Tsakanian,,https://smoothcomp.com/en/club/31842
DallasO'ReganBrazilianJiuJitsu,"118 1 Ave,",Dallas O'Regan,,https://smoothcomp.com/en/club/28999
ATOSHQ,United States,,,https://smoothcomp.com/en/club/12833
DARFIGHT,"NY,",Arturas Lanchinskas,,https://smoothcomp.com/en/club/34740
PabloSilvaBJJ,United States,Aylene Martinez,,https://smoothcomp.com/en/club/2399
NakanoJudoAcademy,United States,,,https://smoothcomp.com/en/club/36598
DiegoBispoBJJ,"Virginia Beach,",Lindsay Asbury,,https://smoothcomp.com/en/club/17167
V.R.M.A/Fightsports,United States,Amira Lewis,,https://smoothcomp.com/en/club/3899
BrazilianTopTeamBoston,United States,Eric Lemanski,,https://smoothcomp.com/en/club/8732
PedigoSubmissionFighting,"67-68 east IL hwy 15 Woodlawn Illinois 62898,",Jakob Brooks,,https://smoothcomp.com/en/club/10177
AlphaMiamiGrappling,850 SW 69 AVE,Jonthan Diaz,,https://smoothcomp.com/en/club/47459
DallasO'ReganBrazilianJiuJitsu,"118 1 Ave,",Dallas O'Regan,,https://smoothcomp.com/en/club/28999
TeamWise,United States,Andraia Laubach,,https://smoothcomp.com/en/club/6556
(Noacademy),United States,,,https://smoothcomp.com/en/club/7408
CHECKMATINTERNATIONAL,United States,WILTON PEQUENO,,https://smoothcomp.com/en/club/3752
GRACIEBARRA(USA),United States,IMAN HAJI HASHEMI,,https://smoothcomp.com/en/club/3950
OhanaAcademy(SanAntonio),"15032 San Pedro Ave,",Leandra Poole,,https://smoothcomp.com/en/club/11912
GustavoMachadoBrazilianJiuJitsu,"1944 Laskin Rd # 401,",Greg Walker,,https://smoothcomp.com/en/club/9622
NoTeam,United States,Michael Bissonette,,https://smoothcomp.com/en/club/3492
EastonTrainingCenter-Denver,United States,Jordan Shipman,,https://smoothcomp.com/en/club/37174
None,United States,T.J. Forward,,https://smoothcomp.com/en/club/6717
BJJRevolutionTeam,United States,Trevor McCarver,,https://smoothcomp.com/en/club/3464
RobertoTravenBJJ,United States,,,https://smoothcomp.com/en/club/6665
PedigoSubmissionFighting,"67-68 east IL hwy 15 Woodlawn Illinois 62898,",Jakob Brooks,,https://smoothcomp.com/en/club/10177
PabloSilvaBJJ,United States,Aylene Martinez,,https://smoothcomp.com/en/club/2399
DARFIGHT,"NY,",Arturas Lanchinskas,,https://smoothcomp.com/en/club/34740
Action&ReactionMMA,"225 Sparks Ave,",Kian Zulick,,https://smoothcomp.com/en/club/31558
GracieBarraVancouver,Canada,Rodrigo Carvalho,,https://smoothcomp.com/en/club/6605
TheEyrieBJJ,"918 W Irvington Rd,",Phillip Aguilar,,https://smoothcomp.com/en/club/11683
V.R.M.A/Fightsports,United States,Amira Lewis,,https://smoothcomp.com/en/club/3899
OlympFightClub,"1109 S Central Avenue, Glendale 91206,",Artur Tsakanian,,https://smoothcomp.com/en/club/31842
DallasO'ReganBrazilianJiuJitsu,"118 1 Ave,",Dallas O'Regan,,https://smoothcomp.com/en/club/28999
ATOSHQ,United States,,,https://smoothcomp.com/en/club/12833
DARFIGHT,"NY,",Arturas Lanchinskas,,https://smoothcomp.com/en/club/34740
PabloSilvaBJJ,United States,Aylene Martinez,,https://smoothcomp.com/en/club/2399
NakanoJudoAcademy,United States,,,https://smoothcomp.com/en/club/36598
DiegoBispoBJJ,"Virginia Beach,",Lindsay Asbury,,https://smoothcomp.com/en/club/17167
V.R.M.A/Fightsports,United States,Amira Lewis,,https://smoothcomp.com/en/club/3899
BrazilianTopTeamBoston,United States,Eric Lemanski,,https://smoothcomp.com/en/club/8732
PedigoSubmissionFighting,"67-68 east IL hwy 15 Woodlawn Illinois 62898,",Jakob Brooks,,https://smoothcomp.com/en/club/10177
AlphaMiamiGrappling,850 SW 69 AVE,Jonthan Diaz,,https://smoothcomp.com/en/club/47459
DallasO'ReganBrazilianJiuJitsu,"118 1 Ave,",Dallas O'Regan,,https://smoothcomp.com/en/club/28999
TeamWise,United States,Andraia Laubach,,https://smoothcomp.com/en/club/6556
CarlsonGracieTeam,United States,Jason Henry,,https://smoothcomp.com/en/club/3623
PabloSilvaBJJ,United States,Aylene Martinez,,https://smoothcomp.com/en/club/2399
TorontoBJJ,"813 Bloor St W,",Sarah Scarr,,https://smoothcomp.com/en/club/6026
Unaffiliated,"5626 Fondren Street,",Sam Nix,,https://smoothcomp.com/en/club/9207
Noteam/association,"372 Linden Rd.,",Aiden Siegel,,https://smoothcomp.com/en/club/15331
Drysdale/Zenith,United States,,,https://smoothcomp.com/en/club/9951
GracieBarraVancouver,Canada,Rodrigo Carvalho,,https://smoothcomp.com/en/club/6605
FabinRosaBJJOrlando,"Orlando / Saint Cloud / Altamonte Springs / Lake Nona,",JORDAN PEDERSON,,https://smoothcomp.com/en/club/20608
TACTEAMBJJ,United States,William Schlucter,,https://smoothcomp.com/en/club/5796
DiegoBispoBJJ,"Virginia Beach,",Lindsay Asbury,,https://smoothcomp.com/en/club/17167
Yamasakiacademy,"5405 Port Royal Rd,",,,https://smoothcomp.com/en/club/16661
BlackTieBrazilianJiuJitsu,"290 Nicholas Pkwy NW,",Corey Brown,,https://smoothcomp.com/en/club/11968
VIEIRABJJSARASOTA,"7390 S. Tamiami Trail,",Thadeu Vieira,,https://smoothcomp.com/en/club/5494
VenerationBJJ,United States,Johnny Garcia,,https://smoothcomp.com/en/club/6157
GracieBarraBurnaby,"M24-4277 Kingsway,",Chad Shaule,,https://smoothcomp.com/en/club/8851
EastonTrainingCenter-Denver,United States,Jordan Shipman,,https://smoothcomp.com/en/club/37174
KSJJ-FluxMMA,"6656 Fair Oaks Dr,",Kyle Short,,https://smoothcomp.com/en/club/13808
UpperAcademyFlorida,"12410 County Line Rd,",Walber Barros,,https://smoothcomp.com/en/club/24514
CohenBrothersJudoClub,"150 N Fairway Drive Suite 156,",Aaron Cohen,,https://smoothcomp.com/en/club/7229
FutureSchoolofJiuJitsu,"820 SE Becker rd,",John Paul Martin,,https://smoothcomp.com/en/club/14959
Action&ReactionMMA,"225 Sparks Ave,",Kian Zulick,,https://smoothcomp.com/en/club/31558
EuropeanJudoAcademy,"9 Huntington Ln,",Ilhan Rahmanov,,https://smoothcomp.com/en/club/33841
ChiefPrideJudoClub,"Fort Myers ,",Nicole Rodriguez,,https://smoothcomp.com/en/club/36806
OlympFightClub,"1109 S Central Avenue, Glendale 91206,",Artur Tsakanian,,https://smoothcomp.com/en/club/31842
AlamedaJiuJitsu,"16-180 Mikahala Pl,",Rylee Hoopii-Manuel,,https://smoothcomp.com/en/club/20798
NEOBrazilianJiuJitsu,"12-8401 Weston Rd.,",Patrick Teruel,,https://smoothcomp.com/en/club/35893
ValleyJudoInstitute,"8850 Lankershim Blvd,",Eduard Khchirian,,https://smoothcomp.com/en/club/27914
LAJUDOCLUB,3923 W. OLYMPIC Blvd.,Hwa Young Jeong,,https://smoothcomp.com/en/club/35255
"BattleArtsAcademy,Mississauga","4880 Tomken Rd, Mississauga, ON L4W 1J8,",Brendon May,,https://smoothcomp.com/en/club/21170
CurrentBJJ,"6800 Kitimat Rd, Unit 27, Mississauga ON, L5N 5M1,",Hannah Brown,,https://smoothcomp.com/en/club/47454
PedigoSubmissionFighting,"67-68 east IL hwy 15 Woodlawn Illinois 62898,",Jakob Brooks,,https://smoothcomp.com/en/club/10177
RENZOGRACIENY,United States,Gil Vicens,,https://smoothcomp.com/en/club/5782
UFCGYM,United States,,,https://smoothcomp.com/en/club/5840
GROUNDCONTROL,Ground Control – Baltimore Academy,RYAN MASON,,https://smoothcomp.com/en/club/5794
RenatoTavaresassociation,"5600 sun pointe drive,",Suraj Budhram,,https://smoothcomp.com/en/club/11057
MohlerMMA,"201 N. Starnes Street ,",Professor Allen Mohler,,https://smoothcomp.com/en/club/8885
SixBlades,"310 S 8th St,",,,https://smoothcomp.com/en/club/24173
CarlsonGracieTeam,Canada,Mario Decosta,,https://smoothcomp.com/en/club/7888
CASCAOJIUJITSU,United States,LUKE MITCHELL,,https://smoothcomp.com/en/club/3936
ATOSHQ,United States,,,https://smoothcomp.com/en/club/12833
TeamSerpentePanama,"Galerías Obarrio.,",Ema Guilarte,,https://smoothcomp.com/en/club/31058
BrazilianTopTeamBoston,United States,Eric Lemanski,,https://smoothcomp.com/en/club/8732
OhanaAcademy(SanAntonio),"15032 San Pedro Ave,",Leandra Poole,,https://smoothcomp.com/en/club/11912
Pedro'sJudoCenter,"19 New Salem St,",Riley McIlwain,,https://smoothcomp.com/en/club/23392
RodrigoVaghiHeadquarters,"15739 Manchester Rd, Suite A,",John Hansen,,https://smoothcomp.com/en/club/13483
MauiJiuJitsu,"HI,",,,https://smoothcomp.com/en/club/11850
Crazy88,United States,JOHN JOHNSON,,https://smoothcomp.com/en/club/2227
GFTeamCanada,"5528 Kingsway, Burnaby, BC, V5H 2G2,",Rafael La Porta De Oliveira,,https://smoothcomp.com/en/club/8822
GracieBarraKitsilano,"3611 W Broadway, Vancouver, BC V6R 2B8,",GRACIE BARRA Kitsilano,,https://smoothcomp.com/en/club/13255
AdamasJiuJitsu,5201 Monroe st,Dante Leon,,https://smoothcomp.com/en/club/45237
SpartanMartialArts,United States,Peter Park,,https://smoothcomp.com/en/club/6098
AdamasJiuJitsu,5201 Monroe st,Dante Leon,,https://smoothcomp.com/en/club/45237
ONGUARDBRAZILIANJIUJITSU,"3-19040 Lougheed Hwy.,",Matt Kwan,,https://smoothcomp.com/en/club/6261
HalifaxBJJ,"208-3600 Kempt Rd,",Joel Jacquard,,https://smoothcomp.com/en/club/9033
PhoenixJudoClub-Washington,"12611 Northup Way, Suite 300",Gabriel Lucas Laxamana,,https://smoothcomp.com/en/club/44767
TeamLloydIrvin,"6333 Old Branch Ave Ste. 302,",Donald Achnick,,https://smoothcomp.com/en/club/10380
RodrigoVaghiHeadquarters,"15739 Manchester Rd, Suite A,",John Hansen,,https://smoothcomp.com/en/club/13483
KSJJ-FluxMMA,"6656 Fair Oaks Dr,",Kyle Short,,https://smoothcomp.com/en/club/13808
KiitsusaiNationaltrainingcenter,"6855 Lyons Technology Cir #9, Coconut Creek, FL 33073,",CHRISTOPHER VELAZCO,,https://smoothcomp.com/en/club/41310
WashingtonJudoAcademy,"10600 NE 68th St, Suite D, Kirkland, WA 98033,",Micah Nagoya-warner,,https://smoothcomp.com/en/club/41460
KimuraBJJUSA,"23269 SR 7 #117, Boca Raton, FL 33428,",Rodolfo Lima,,https://smoothcomp.com/en/club/10978
VictoryMMA,United States,William Sepanski,,https://smoothcomp.com/en/club/6158
.Noteam.,"N/A,",Liam Russell,,https://smoothcomp.com/en/club/42017
JayPagesJiu-JitsuAcademy,"6745 S. Harl Ave., Suite 101, Tempe, AZ 85283,",Jay Pages,,https://smoothcomp.com/en/club/11736
Crazy88,United States,JOHN JOHNSON,,https://smoothcomp.com/en/club/2227
GracieBarraRioRancho,1000 Golf Course Rd. SE,Mark Garcia,,https://smoothcomp.com/en/club/12330
GracieBarraAlbuquerque,"12251 Academy Rd NE,",Fernando Amadeu,,https://smoothcomp.com/en/club/11952
NewEnglandUnitedBJJ,United States,Steven Lyons,,https://smoothcomp.com/en/club/2384
ZRTeamNC,"1113 N Bragg Blvd,",Diego Dias Ramalho,,https://smoothcomp.com/en/club/23744
StoutPGH-TeamRenzoGracie,"114 27th St,",Roger Anderson,,https://smoothcomp.com/en/club/11876
TorontoBJJ,"813 Bloor St W,",Sarah Scarr,,https://smoothcomp.com/en/club/6026
HalifaxBJJ,"208-3600 Kempt Rd,",Joel Jacquard,,https://smoothcomp.com/en/club/9033
DiegoBispoBJJ,"Virginia Beach,",Lindsay Asbury,,https://smoothcomp.com/en/club/17167
RenatoTavaresassociation,"5600 sun pointe drive,",Suraj Budhram,,https://smoothcomp.com/en/club/11057
BurnabyVancouverJiu-Jitsu(BVJJ),"3738 Canada Way,",Eduardo Cadena,,https://smoothcomp.com/en/club/14454
BOABJJMMA,Canada,,,https://smoothcomp.com/en/club/7735
AForceBJJ,United States,Antonio Prassos,,https://smoothcomp.com/en/club/8172
ValleyJudoInstitute,"8850 Lankershim Blvd,",Eduard Khchirian,,https://smoothcomp.com/en/club/27914
TRXTRSTUDIOCTA,"2045 Lauwiliwili st, suite 403,",Jeremy Nitta,,https://smoothcomp.com/en/club/35515
CHECKMATINTERNATIONAL,United States,WILTON PEQUENO,,https://smoothcomp.com/en/club/3752
ApexMartialArts,"13571 Verdun Place,",Marcy Hilario,,https://smoothcomp.com/en/club/7723
Fifty/50MartialArtsAcademy,"929 W Broad St #103, Falls Church, VA 22046,",Kenny Savercool,,https://smoothcomp.com/en/club/9246
10thPlanetKentucky,"427 Big Hill Ave,",Gina Elliott,,https://smoothcomp.com/en/club/17799
TheEyrieBJJ,"918 W Irvington Rd,",Phillip Aguilar,,https://smoothcomp.com/en/club/11683
AmericanTopTeamAshburn,"Ashburn,",,,https://smoothcomp.com/en/club/31507
EastonTrainingCenter-Denver,United States,Jordan Shipman,,https://smoothcomp.com/en/club/37174
ATOSHQ,United States,,,https://smoothcomp.com/en/club/12833
CohenBrothersJudoClub,"150 N Fairway Drive Suite 156,",Aaron Cohen,,https://smoothcomp.com/en/club/7229
DreamArt,"Pensacola ,",,,https://smoothcomp.com/en/club/37651
BecerraJudoClub,"3035 S. Shiloh Rd. #175, TX 75041,",,,https://smoothcomp.com/en/club/9734
LuizPalhares,United States,Adam Austin,,https://smoothcomp.com/en/club/3842
PacificMartialArts,"6735 1st st Fresno CA 93710,",Matt Smith,,https://smoothcomp.com/en/club/9090
Checkmat,United States,,,https://smoothcomp.com/en/club/7509
TeamSerpentePanama,"Galerías Obarrio.,",Ema Guilarte,,https://smoothcomp.com/en/club/31058
10thPlanetFreaks,"6008 Mission Gorge Rd,",Harold Van Arsdale,,https://smoothcomp.com/en/club/9581
Action&ReactionMMA,"225 Sparks Ave,",Kian Zulick,,https://smoothcomp.com/en/club/31558
VicenteJrTeam,United States,Bain Hughes,,https://smoothcomp.com/en/club/14108
AtosJiuJitsu-AndreGalvao,United States,Ronaldo Candido,,https://smoothcomp.com/en/club/3735
GenesisJiuJitsu,"5512 River Oaks Blvd,",Karen Banes,,https://smoothcomp.com/en/club/9226
ProfectusJiu-Jitsu,"91 Seaboard Ln Brentwood, Tn 37027,",Miles Kirby,,https://smoothcomp.com/en/club/21350
CarlsonGracieTeam,Canada,Mario Decosta,,https://smoothcomp.com/en/club/7888
TeamRenzoGracieOttawa,Canada,Pat Cooligan,,https://smoothcomp.com/en/club/12007
TriumphFightAcademy,"9499 Old Bailes Rd, Suite 111,",Avery Richard,,https://smoothcomp.com/en/club/14292
NakanoJudoAcademy,United States,,,https://smoothcomp.com/en/club/36598
NextMoveJiuJitsu,"3301 Southern Blvd SE Suite 501 Rio Rancho NM, 87144,",Jason Howells,,https://smoothcomp.com/en/club/40257
IslandJiuJitsu,"2600 S King St ,",Justin Puerto,,https://smoothcomp.com/en/club/17100
AlamedaJiuJitsu,"16-180 Mikahala Pl,",Rylee Hoopii-Manuel,,https://smoothcomp.com/en/club/20798
TeamLloydIrvin,"6333 Old Branch Ave Ste. 302,",Donald Achnick,,https://smoothcomp.com/en/club/10380
RenzoGracieClarksville,"200 Harnett Court,",Davin Mayfield,,https://smoothcomp.com/en/club/11975
HavenJiuJitsu,"2265 Downer Street Unit 600 Baldwinsville New York,",Ben Tallini,,https://smoothcomp.com/en/club/26403
10thPlanetLasVegas,United States,,,https://smoothcomp.com/en/club/9953
ValiantJiu-JitsuAcademyLLC,"7352 N Government Way Dalton Gardens ID 83815 Suites F and G,",Josiah Paul,,https://smoothcomp.com/en/club/43329
TeamDNA,"Whitby,",Kim Marchand,,https://smoothcomp.com/en/club/8895
CarlsonGracieTeamGrandRapids,"2035 28th St SE,",Alexander Seaver,,https://smoothcomp.com/en/club/18819
10thPlanetVancouver,Canada,Nabil Salameh,,https://smoothcomp.com/en/club/24572
SwordJudoSamboClub,"Manalapan ,",Kamil Basriyev,,https://smoothcomp.com/en/club/34592
OneontaAcademyofJiujitsu,United States,,,https://smoothcomp.com/en/club/9916
SalvosaBJJ/Ascension,"Toronto,",Omar Salvosa,,https://smoothcomp.com/en/club/14767
ChampionsMMAUSA,"8220 US Hwy 98 N,",Marcus Santos,,https://smoothcomp.com/en/club/10104
XtremeCoutureToronto,"700 Kipling ave,",Paul McGrath,,https://smoothcomp.com/en/club/15287
BlackHoleJiu-Jitsu,United States,CHARLES MACGOWAN IV,,https://smoothcomp.com/en/club/2139
BrazilianTopTeamBoston,United States,Eric Lemanski,,https://smoothcomp.com/en/club/8732
HayabusaTrainingCentreLtd.,"145 Carleton Dr,",Luke Harris,,https://smoothcomp.com/en/club/8430
10thPlanetJiuJitsu,United States,Austin Lineback,,https://smoothcomp.com/en/club/6346
