,Contact Persons,Source,business_status,formatted_address,name,opening_hours,lat,lng
0,Rodrigo Carvalho,https://smoothcomp.com/en/club/6605,OPERATIONAL,"2440 Main St, Vancouver, BC V5T 3E2, Canada",Gracie Barra Vancouver,{'open_now': False},49.26339489999999,-123.1007528
1,Brendon May,https://smoothcomp.com/en/club/21170,OPERATIONAL,"4880 Tomken Rd, Mississauga, ON L4W 1J8, Canada",Battle Arts Academy,{'open_now': False},43.62536110000001,-79.6302803
2,Hannah Brown,https://smoothcomp.com/en/club/47454,OPERATIONAL,"6800 Kitimat Rd #27, Mississauga, ON L5N 5M1, Canada",Current Jiu Jitsu,{'open_now': False},43.60833,-79.73684999999999
3,Mario Decosta,https://smoothcomp.com/en/club/7888,OPERATIONAL,"76 Progress Dr ste 238, Stamford, CT 06902, United States",Carlson Gracie Team Stamford - CT,{'open_now': False},41.0535659,-73.561882
4,Eduardo Cadena,https://smoothcomp.com/en/club/14454,OPERATIONAL,"3738 Canada Wy, Burnaby, BC V5G 1G5, Canada",Burnaby Vancouver Jiu-Jitsu,{'open_now': False},49.2544227,-123.0219812
5,,https://smoothcomp.com/en/club/7735,OPERATIONAL,"401 N Warren St, Orwigsburg, PA 17961, United States",Boa Brazilian Jiu Jitsu LLC,{'open_now': False},40.6579221,-76.0997837
6,Pat Cooligan,https://smoothcomp.com/en/club/12007,OPERATIONAL,"432 Tralee Rd, Nepean, ON K2J 5Z7, Canada",The Resource Team,{'open_now': False},45.28655759999999,-75.735299
7,Nabil Salameh,https://smoothcomp.com/en/club/24572,OPERATIONAL,"9811 NE 15th Ave UNIT 101, Vancouver, WA 98665, United States",10th Planet Vancouver,{'open_now': False},45.6924995,-122.6562699
8,John Sawatzky,https://smoothcomp.com/en/club/6750,OPERATIONAL,"1185 California Ave #5, Brockville, ON K6V 7N5, Canada",Revelation Martial Arts and Fitness,{'open_now': False},44.6138073,-75.69359089999999
9,,https://smoothcomp.com/en/club/7789,OPERATIONAL,"1256 Granville St #1, Vancouver, BC V6Z 1M4, Canada",Lions MMA,{'open_now': False},49.2764825,-123.1270253
10,,https://smoothcomp.com/en/club/7780,OPERATIONAL,"2525 McCullough Rd, Nanaimo, BC V9S 4M9, Canada",Island Top Team Brazilian Jiu-Jitsu & MMA,{'open_now': False},49.1952999,-123.9805706
11,,https://smoothcomp.com/en/club/7816,OPERATIONAL,"2326 E Main St, Bridgeport, CT 06610, United States",Pure Martial Arts Fitness Academy,{'open_now': False},41.2064466,-73.1787042
12,Candace Robertson,https://smoothcomp.com/en/club/7806,OPERATIONAL,"1835 Gordon Dr Unit #100, Kelowna, BC V1Y 3H5, Canada",Pacific Top Team Martial Arts Kelowna,{'open_now': False},49.8825357,-119.4754518
13,Marco Costa,https://smoothcomp.com/en/club/38746,,,,,,
14,Fatima Eltassi,https://smoothcomp.com/en/club/7715,OPERATIONAL,"5186 80 Ave SE, Calgary, AB T2C 2X3, Canada",101 Academy Jiu Jitsu,{'open_now': False},50.980656,-113.9605526
15,,https://smoothcomp.com/en/club/7805,,,,,,
16,Jayden Raposo,https://smoothcomp.com/en/club/29632,OPERATIONAL,"2486 Dufferin St, York, ON M6B 3R1, Canada",Santos Brothers BJJ,{'open_now': False},43.7009553,-79.4521275
17,,https://smoothcomp.com/en/club/9925,OPERATIONAL,"3625 Bd du Curé-Labelle, Laval, QC H7T 1R6, Canada",Gracie Barra Laval - Brazilian Jiu-Jitsu,{'open_now': False},45.5710038,-73.7831894
18,Paul Tam,https://smoothcomp.com/en/club/52145,OPERATIONAL,"4451 No. 3 Rd #213, Richmond, BC V6X 2C3, Canada",CLF Kung Fu Club,,49.18125630000001,-123.1379497
19,Chris Poudrier,https://smoothcomp.com/en/club/6517,OPERATIONAL,"222 St Mary's Rd, Winnipeg, MB R2H 1J3, Canada","WAMMA NextGen (Wrestling, Jiu Jitsu, Boxing, Kickboxing)",{'open_now': False},49.8751683,-97.118414
20,,https://smoothcomp.com/en/club/8435,OPERATIONAL,"The Hub, 2375 Koksilah Rd, Duncan, BC V0R 2P2, Canada",South Island Brazilian Jiu Jitsu Academy,{'open_now': False},48.72983869999999,-123.6629343
21,,https://smoothcomp.com/en/club/22074,OPERATIONAL,"620 Steven Ct #3, Newmarket, ON L3Y 6Z2, Canada",York Judo & BJJ,{'open_now': False},44.0375632,-79.45416519999999
22,,https://smoothcomp.com/en/club/6251,OPERATIONAL,"1810 Carling Ave, Ottawa, ON K2A 1E2, Canada",Ottawa Academy of Martial Arts,{'open_now': False},45.3768046,-75.7548529
23,Cedric Co Ling,https://smoothcomp.com/en/club/7720,OPERATIONAL,"2625 Kingsway, Vancouver, BC V5R 5H4, Canada",Alliance Vancouver Brazilian Jiu Jitsu,{'open_now': False},49.2393283,-123.0519637
24,Nicholas Castiglia,https://smoothcomp.com/en/club/15840,OPERATIONAL,"250 City Centre Ave Unit 128, Ottawa, ON K1R 6K7, Canada",Gracie Barra Ottawa,{'open_now': False},45.40828250000001,-75.71878
25,GM Ricky WU,https://smoothcomp.com/en/club/40574,OPERATIONAL,"4400 Hazelbridge Way, Richmond, BC V6X 3R8, Canada",Wu's Taekwondo School,{'open_now': False},49.1816977,-123.1324325
26,,https://smoothcomp.com/en/club/22071,OPERATIONAL,"3507 Boulevard St François, Jonquière, QC G7X 2W5, Canada",Judokas Jonquiere,,48.4122381,-71.2266625
